cucur	Sejenis kuih dari pada tepung beras
cucu	Anak kepada anak
cuci	Basuh
codak	Hujung terangkat
curam	Rendah sebelah
corot	Tinggal kebelakang
corong	Serombong
curah	Tuang
congkak	Sombong
cup	Semula tak jadi
cup tui	Tidak aci(dalam bahasa permainan)
cup naik	semua karena tersalah
cupak	Sukatan dua leng dan empat cupak jadi satu gantang
cupu	Lubang yang tohor disediakan bagi tumpu perdirian
cupur	Tepi sangat
cupis	Terlampau ketepi tapi boleh jadi pecah
cuping	Daun telinga
cupil	Hampir sangat ketepi dekat hendak jatuh
cuka	Sejenis air yang masam
cukup	Penuh
cokok	Bersuka-suka masa mandi
cukai	Bayaran yang ditentukan oeh kerajaan bagi menjadi hasil negeri
cogat	Terdiri tegak ditengah lapang
cogan	Alamat
colok	Sumbu bagi api yang boleh hidup lama dengan tiada menyala
colek	Ambil sedikit dengan ujung jari
compang	Koyak
compes	Pecah ditepi
comot	Kotor sedikit
comel	Kecil dan manis
conteng	Mengecat muka
cebok	Gayung
cicah	colek jamah sedikit
cicit	Anak kepada cucu
cicir	Jatuh
cicik	Tak berkenan
cedok	ambik dengan suatu bekas
cirit	Nama sejenis lauk dari pada telur ikan
cerek	Bekas air yang bermuncung
cengkong	Lengan tangan tak boleh lurus
daba	Bau yang keras
dabus	Besi yang matanya pendek
dabung	Memapar atau memotong
datar	Rata
datang	Hadir
datuk	Bapak kepada bapak
datia	Gergasi
datin	Gelaran keatas ahli
dacing	Sejenis alatan menimbang
dadar	Bahagi rata-rata
dadak	Pekak yang berlebih
dadu	Sejenis buah permainan
daduk	Bertunggu meminta
dadah	Kacukan dari pada dadar
dara	Anak perempuan yang telah cukup umur belum bersuami
dagu	Anggota yang dibawah muka
dalang	Tukang jalankan hal atau cerita terutama dalam permainan wayang kulit
dalal	Tukang jual
dalam	Lawan luar
dalik	Beralih
dalih	Bersangkal jawab
dialih	Berubah tempat
damar	Getah kayu diperbuat suluh dibakar
damak	Anak sumpitan
daman	Tali kelat pada layar
damai	Selesai,berbaik-baik
danur 	Tanah dan darah yang busuk
dawat	Tinta
dawai	Tali tembaga atau timah sari
farak	Beza
fasik	Jahil ataupun sengaja jahat
